Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity
2011-06-01,952.0,958.65,943.65,946.8,1838452.0
2011-06-02,936.55,954.7,936.55,951.05,2152963.0
2011-06-03,960.5,967.0,931.5,934.6,4368279.0
2011-06-06,934.65,940.8,928.15,937.75,1405741.0
2011-06-07,933.55,960.0,933.55,958.25,4025919.0
2011-06-08,955.25,955.95,943.95,949.2,3247038.0
2011-06-09,947.5,957.85,947.0,954.0,2092020.0
2011-06-10,955.1,956.0,932.05,944.5,2530136.0
2011-06-13,943.25,943.25,921.0,925.6,2954066.0
2011-06-14,925.3,931.75,910.0,911.35,4335560.0
2011-06-15,912.0,918.9,898.6,900.55,4607486.0
2011-06-16,901.0,901.0,884.1,887.55,5707528.0
2011-06-17,891.3,893.3,865.2,868.75,5035618.0
2011-06-20,875.0,875.0,828.1,833.25,6926078.0
2011-06-21,839.9,855.0,837.3,848.65,3980489.0
2011-06-22,853.35,858.15,834.15,845.8,4596259.0
2011-06-23,846.55,872.7,845.9,870.5,4734842.0
2011-06-24,874.15,879.7,855.6,871.4,7239303.0
2011-06-27,866.7,881.8,861.85,871.55,3280025.0
2011-06-28,878.9,878.9,862.0,871.1,2336039.0
2011-06-29,875.7,888.0,872.1,885.25,2841435.0
2011-06-30,888.7,902.0,887.0,898.5,4970476.0
2011-07-01,907.0,907.0,856.7,861.95,6555284.0
2011-07-04,874.4,879.4,865.0,868.4,3771511.0
2011-07-05,869.3,869.3,844.0,845.95,7727430.0
2011-07-06,848.85,858.5,840.7,852.9,6143838.0
2011-07-07,858.0,874.9,855.25,870.7,4603204.0
2011-07-08,873.0,874.0,852.0,854.85,4785969.0
2011-07-11,854.0,859.95,847.0,853.3,2194126.0
2011-07-12,847.5,857.4,845.7,847.75,2986757.0
2011-07-13,853.05,869.7,851.1,865.45,3892719.0
2011-07-14,863.3,877.9,859.35,867.55,3043021.0
2011-07-15,867.7,876.0,865.0,873.2,2332976.0
2011-07-18,871.9,873.9,864.2,867.6,1504709.0
2011-07-19,867.5,881.4,866.0,879.45,2245330.0
2011-07-20,886.0,886.8,868.8,876.2,2555594.0
2011-07-21,875.95,875.95,857.55,860.85,1802647.0
2011-07-22,866.0,877.0,862.5,873.35,3498193.0
2011-07-25,892.0,892.0,879.15,882.85,5007164.0
2011-07-26,888.25,890.15,869.4,871.5,4677273.0
2011-07-27,875.0,875.0,859.15,860.85,3126064.0
2011-07-28,855.0,855.0,833.4,837.35,7154511.0
2011-07-29,840.0,847.25,823.15,827.95,4890181.0
2011-08-01,838.0,838.0,821.35,830.85,3255486.0
2011-08-02,827.55,838.9,818.5,837.3,3787775.0
2011-08-03,826.75,836.2,823.1,825.05,3219680.0
2011-08-04,828.0,831.65,810.05,812.35,3140142.0
2011-08-05,799.5,799.5,779.0,792.0,5994097.0
2011-08-08,776.7,796.4,767.0,780.65,5084300.0
2011-08-09,753.0,779.0,753.0,765.3,7463019.0
2011-08-10,785.35,790.0,765.0,772.75,4056543.0
2011-08-11,768.35,784.95,765.0,772.2,2489305.0
2011-08-12,783.0,783.0,758.0,760.9,3936767.0
2011-08-16,760.0,772.3,754.7,759.15,2580004.0
2011-08-17,760.5,774.4,751.0,755.0,3096352.0
2011-08-18,757.7,760.0,737.0,741.2,3914915.0
