"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","07-Jan-2011","1,085.60","1,081.30","1,087.75","1,058.00","1,067.00","1,065.40","1,069.47","40,85,949","4,36,97,96,823.05","-","23,49,652","57.51"
"RELIANCE","EQ","10-Jan-2011","1,065.40","1,065.40","1,070.45","1,021.20","1,035.35","1,033.45","1,050.71","42,23,855","4,43,80,55,334.75","-","25,87,743","61.26"
"RELIANCE","EQ","11-Jan-2011","1,033.45","1,040.00","1,048.70","998.60","1,022.00","1,013.75","1,026.30","48,33,870","4,96,10,24,807.65","-","21,26,244","43.99"
"RELIANCE","EQ","12-Jan-2011","1,013.75","1,020.65","1,035.65","1,003.00","1,029.70","1,030.80","1,019.66","53,01,987","5,40,62,11,742.90","-","24,72,974","46.64"
"RELIANCE","EQ","13-Jan-2011","1,030.80","1,030.00","1,039.15","1,011.10","1,015.95","1,015.35","1,023.38","55,62,896","5,69,29,69,631.05","-","30,41,017","54.67"
"RELIANCE","EQ","14-Jan-2011","1,015.35","1,014.05","1,029.80","998.00","998.15","1,001.50","1,012.62","43,68,638","4,42,37,71,715.50","-","21,38,859","48.96"
"RELIANCE","EQ","17-Jan-2011","1,001.50","1,003.00","1,008.00","992.05","998.95","997.90","1,000.13","32,10,798","3,21,12,23,457.20","-","14,96,866","46.62"
"RELIANCE","EQ","18-Jan-2011","997.90","1,004.85","1,008.00","990.00","996.90","994.85","996.60","33,99,381","3,38,78,34,901.15","-","17,34,512","51.02"
"RELIANCE","EQ","19-Jan-2011","994.85","999.60","1,005.00","975.00","981.40","980.15","993.27","53,69,775","5,33,36,12,717.05","-","33,99,725","63.31"
"RELIANCE","EQ","20-Jan-2011","980.15","977.60","977.60","954.55","968.65","969.85","966.86","94,50,384","9,13,71,67,623.50","-","62,74,988","66.40"
"RELIANCE","EQ","21-Jan-2011","969.85","975.00","992.50","973.00","987.20","986.80","985.11","44,63,927","4,39,74,76,833.25","-","21,67,658","48.56"
"RELIANCE","EQ","24-Jan-2011","986.80","995.10","995.90","964.10","972.55","971.60","973.67","50,84,310","4,95,04,38,351.90","-","29,98,026","58.97"
"RELIANCE","EQ","25-Jan-2011","971.60","977.10","984.95","956.25","958.40","958.50","970.32","46,46,080","4,50,81,81,430.00","-","25,32,493","54.51"
"RELIANCE","EQ","27-Jan-2011","958.50","966.00","967.40","940.00","943.85","942.70","952.70","64,24,365","6,12,04,92,172.90","-","41,56,280","64.70"
"RELIANCE","EQ","28-Jan-2011","942.70","945.00","945.90","902.00","917.80","913.00","919.74","77,38,844","7,11,76,93,886.65","-","39,56,760","51.13"
"RELIANCE","EQ","31-Jan-2011","913.00","908.85","928.85","903.10","919.80","919.30","918.40","57,90,572","5,31,80,39,601.60","-","29,68,135","51.26"
"RELIANCE","EQ","01-Feb-2011","919.30","925.10","927.70","888.55","894.60","895.50","903.10","86,63,045","7,82,36,21,273.95","-","43,92,685","50.71"
"RELIANCE","EQ","02-Feb-2011","895.50","910.00","927.90","907.30","923.00","921.30","919.50","65,06,784","5,98,29,88,364.85","-","40,81,093","62.72"
"RELIANCE","EQ","03-Feb-2011","921.30","928.00","947.50","915.00","947.00","943.90","934.37","38,96,824","3,64,10,66,010.55","-","17,18,754","44.11"
"RELIANCE","EQ","04-Feb-2011","943.90","947.40","947.40","913.15","917.00","920.00","927.16","47,35,179","4,39,02,53,871.45","-","26,25,073","55.44"
"RELIANCE","EQ","07-Feb-2011","920.00","925.70","938.80","914.40","928.90","929.05","926.96","33,34,195","3,09,06,70,173.85","-","15,34,561","46.02"
"RELIANCE","EQ","08-Feb-2011","929.05","935.70","935.70","911.25","917.00","915.25","918.84","44,99,736","4,13,45,22,717.20","-","26,66,292","59.25"
"RELIANCE","EQ","09-Feb-2011","915.25","908.40","937.20","903.65","919.75","914.30","923.19","87,38,283","8,06,70,78,841.50","-","55,19,938","63.17"
"RELIANCE","EQ","10-Feb-2011","914.30","912.50","920.80","885.10","899.00","899.65","900.33","64,79,831","5,83,39,79,664.95","-","30,68,933","47.36"
"RELIANCE","EQ","11-Feb-2011","899.65","899.95","915.00","888.05","910.75","909.95","899.83","45,74,486","4,11,62,69,861.35","-","21,58,728","47.19"
"RELIANCE","EQ","14-Feb-2011","909.95","906.10","918.25","894.10","915.10","914.80","907.41","68,90,857","6,25,28,61,727.05","-","31,88,244","46.27"
"RELIANCE","EQ","15-Feb-2011","914.80","914.40","944.80","911.30","942.00","941.70","930.50","62,32,645","5,79,94,81,570.25","-","33,62,053","53.94"
"RELIANCE","EQ","16-Feb-2011","941.70","938.30","950.80","938.10","943.70","944.15","946.12","25,23,913","2,38,79,16,577.80","-","9,74,826","38.62"
"RELIANCE","EQ","17-Feb-2011","944.15","947.85","955.45","936.25","953.95","953.95","947.93","32,21,065","3,05,33,41,945.95","-","15,64,048","48.56"
"RELIANCE","EQ","18-Feb-2011","953.95","956.05","963.00","932.00","938.00","935.55","948.71","35,99,714","3,41,50,97,753.75","-","14,50,865","40.31"
"RELIANCE","EQ","21-Feb-2011","935.55","936.10","960.90","934.20","954.65","956.35","949.02","58,58,555","5,55,98,74,540.70","-","31,74,305","54.18"
"RELIANCE","EQ","22-Feb-2011","956.35","992.00","1,009.40","979.25","986.30","984.85","995.60","2,03,26,289","20,23,68,02,111.95","-","1,11,41,840","54.81"
"RELIANCE","EQ","23-Feb-2011","984.85","986.40","1,002.30","985.00","998.50","995.65","995.30","71,28,252","7,09,47,51,858.30","-","45,99,455","64.52"
"RELIANCE","EQ","24-Feb-2011","995.65","996.00","998.60","958.35","971.00","964.20","971.46","75,21,221","7,30,65,81,295.15","-","45,92,008","61.05"
"RELIANCE","EQ","25-Feb-2011","964.20","980.70","982.25","954.55","969.95","966.25","969.01","34,51,930","3,34,49,48,827.40","-","15,05,965","43.63"
"RELIANCE","EQ","28-Feb-2011","966.25","970.20","994.30","960.00","961.70","964.25","979.06","51,40,248","5,03,26,12,710.05","-","20,47,716","39.84"
