"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","21-Jan-2026","1,394.00","1,389.50","1,412.90","1,373.00","1,407.50","1,404.60","1,399.14","1,73,52,720","24,27,89,65,746.30","4,12,452","84,16,217","48.50"
"RELIANCE","EQ","22-Jan-2026","1,404.60","1,410.10","1,419.50","1,395.00","1,404.10","1,402.50","1,403.80","1,57,21,693","22,07,01,50,220.10","3,91,641","70,29,268","44.71"
"RELIANCE","EQ","23-Jan-2026","1,402.50","1,401.80","1,407.00","1,381.00","1,387.00","1,386.10","1,391.32","98,37,802","13,68,75,60,136.70","2,63,283","50,41,469","51.25"
"RELIANCE","EQ","27-Jan-2026","1,386.10","1,380.00","1,391.60","1,368.00","1,384.00","1,380.50","1,381.87","2,63,02,396","36,34,65,67,203.10","3,37,571","1,65,74,037","63.01"
"RELIANCE","EQ","28-Jan-2026","1,380.50","1,385.00","1,409.90","1,384.90","1,398.50","1,396.70","1,396.85","1,11,21,657","15,53,53,35,257.60","2,09,556","64,58,005","58.07"
"RELIANCE","EQ","29-Jan-2026","1,396.70","1,402.90","1,402.90","1,384.00","1,386.90","1,391.00","1,393.55","2,08,46,683","29,05,08,18,209.00","2,95,986","1,31,14,958","62.91"
"RELIANCE","EQ","30-Jan-2026","1,391.00","1,382.60","1,398.00","1,378.50","1,397.00","1,395.40","1,391.25","1,12,39,835","15,63,74,18,399.50","1,59,638","83,94,885","74.69"
"RELIANCE","EQ","01-Feb-2026","1,395.40","1,396.00","1,411.00","1,335.00","1,342.80","1,347.00","1,377.13","97,14,528","13,37,81,45,108.70","2,36,369","44,72,543","46.04"
"RELIANCE","EQ","02-Feb-2026","1,347.00","1,340.00","1,392.90","1,335.50","1,388.00","1,390.40","1,373.27","1,57,11,165","21,57,56,43,258.50","3,79,997","98,29,010","62.56"
"RELIANCE","EQ","03-Feb-2026","1,390.40","1,473.90","1,489.50","1,430.20","1,438.00","1,437.10","1,445.70","2,54,56,171","36,80,20,06,349.10","3,60,494","1,54,56,249","60.72"
"RELIANCE","EQ","04-Feb-2026","1,437.10","1,444.00","1,464.00","1,440.30","1,455.40","1,456.80","1,455.35","83,33,387","12,12,79,57,783.70","1,89,873","48,11,817","57.74"
"RELIANCE","EQ","05-Feb-2026","1,456.80","1,457.00","1,461.50","1,439.50","1,441.90","1,443.40","1,444.91","1,17,63,658","16,99,74,46,034.90","2,06,465","60,22,075","51.19"
"RELIANCE","EQ","06-Feb-2026","1,443.40","1,441.50","1,452.80","1,433.50","1,451.00","1,450.80","1,442.78","82,77,304","11,94,23,66,313.00","1,33,331","33,61,089","40.61"
"RELIANCE","EQ","09-Feb-2026","1,450.80","1,458.00","1,465.90","1,453.00","1,461.20","1,461.60","1,462.26","57,75,864","8,44,58,11,902.30","1,27,171","37,69,208","65.26"
"RELIANCE","EQ","10-Feb-2026","1,461.60","1,471.00","1,471.00","1,452.20","1,456.20","1,458.50","1,459.23","1,02,59,630","14,97,11,96,098.30","1,81,163","30,96,776","30.18"
"RELIANCE","EQ","11-Feb-2026","1,458.50","1,459.60","1,470.00","1,453.60","1,469.00","1,468.70","1,465.14","71,06,877","10,41,25,35,997.80","2,00,342","41,10,465","57.84"
"RELIANCE","EQ","12-Feb-2026","1,468.70","1,470.00","1,473.00","1,445.50","1,449.90","1,448.90","1,453.64","1,11,35,399","16,18,68,60,274.50","1,95,451","42,30,307","37.99"
"RELIANCE","EQ","13-Feb-2026","1,448.90","1,445.50","1,450.70","1,416.30","1,418.60","1,419.60","1,423.73","1,07,55,693","15,31,32,21,949.70","1,82,348","68,50,399","63.69"
"RELIANCE","EQ","16-Feb-2026","1,419.60","1,420.10","1,439.60","1,409.30","1,434.10","1,437.10","1,426.07","58,96,514","8,40,88,65,413.30","1,60,094","26,67,845","45.24"
"RELIANCE","EQ","17-Feb-2026","1,437.10","1,431.10","1,431.80","1,418.60","1,424.20","1,423.00","1,423.10","1,07,31,630","15,27,21,75,589.40","1,89,670","30,02,495","27.98"
"RELIANCE","EQ","18-Feb-2026","1,423.00","1,427.00","1,442.10","1,419.20","1,441.00","1,441.30","1,432.14","55,21,096","7,90,69,56,447.40","1,21,784","22,60,500","40.94"
"RELIANCE","EQ","19-Feb-2026","1,441.30","1,443.00","1,443.00","1,400.00","1,407.20","1,409.50","1,415.94","1,18,84,664","16,82,79,34,160.10","2,21,944","28,27,496","23.79"
"RELIANCE","EQ","20-Feb-2026","1,409.50","1,409.50","1,427.40","1,406.10","1,419.10","1,419.40","1,420.00","81,77,670","11,61,22,83,011.40","1,61,489","33,91,951","41.48"
