,publishedAt,title,description,source,url,Date
0,2026-02-03T15:54:23Z,Newly released Epstein files reveal further ties to Israel,"The release of more Jeffrey Epstein files reveals further connections between the late, convicted sex criminal and the state of Israel.","{'id': None, 'name': 'Mondoweiss'}",https://mondoweiss.net/2026/02/newly-released-epstein-files-reveal-further-ties-to-israel/,2026-02-03
1,2026-02-03T09:57:52Z,A handshake with the Don: Why Ambani and Adani stocks are cheering the India-US deal,"Reliance and Adani Group stocks surged after the India-US trade deal slashed tariffs and opened access to Venezuelan crude, triggering a massive short-covering rally. Adani Group firms emerged as the top gainers, while Reliance stands to benefit from heavier …","{'id': 'the-times-of-india', 'name': 'The Times of India'}",https://economictimes.indiatimes.com/markets/stocks/news/a-handshake-with-the-don-why-ambani-and-adani-stocks-are-cheering-the-india-us-deal/articleshow/127882324.cms,2026-02-03
2,2026-02-03T08:49:58Z,Kolangal actor Abhishek joins the cast of Ethirneechal 2,"Popular Tamil serial Ethirneechal 2 is set to enter a new phase with the addition of actor Abhishek, known for his role in Kolangal. His pivotal entry is expected to introduce fresh layers and new emotional dynamics to the show's engaging, female-centric narr…","{'id': 'the-times-of-india', 'name': 'The Times of India'}",https://timesofindia.indiatimes.com/tv/news/tamil/kolangal-actor-abhishek-joins-the-cast-of-ethirneechal-2/articleshow/127881090.cms,2026-02-03
3,2026-02-03T08:34:57Z,"50,000-year-old fire traces might hold secrets about China's uninterrupted civilization","Archaeological discoveries in China, including fire traces from 50,000 years ago and the grid-planned capital of the Xia Dynasty, reveal humanity's deep roots and the early rise of states. These findings, alongside sites showcasing cultural integration, highl…","{'id': 'the-times-of-india', 'name': 'The Times of India'}",https://timesofindia.indiatimes.com/etimes/trending/50000-year-old-fire-traces-might-hold-secrets-about-chinas-uninterrupted-civilization/articleshow/127880349.cms,2026-02-03
4,2026-02-03T07:04:40Z,Explained: How Reliance Industries benefits from India‑US trade deal and why the stock went up 7%,Reliance Industries’ shares rose after a new India‑US trade deal cut tariffs to 18% and opened the possibility of Venezuelan crude resuming to India. Reliance’s heavy crude processing capacity positions it as a key beneficiary amid shifting global oil sourcin…,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",https://economictimes.indiatimes.com/markets/stocks/news/explained-how-reliance-industries-benefits-from-indiaus-trade-deal-and-why-the-stock-went-up-7/articleshow/127878871.cms,2026-02-03
5,2026-02-03T06:32:18Z,"Ambani, Adani Group Shares Surge After US-India Trade Deal","Flagship firms of billionaires Mukesh Ambani and Gautam Adani surged after India and the US announced a much-awaited trade pact, easing months of geopolitical tensions.","{'id': 'financial-post', 'name': 'Financial Post'}",https://financialpost.com/pmn/business-pmn/ambani-adani-group-shares-surge-after-us-india-trade-deal,2026-02-03
6,2026-02-03T00:55:18Z,"Stocks in news: RIL, Adani Enterprises, Bajaj Housing, PB Fintech","Indian markets showed resilience, recovering some Budget-day losses. Several key companies are under the spotlight today. Bajaj Finance and Adani Enterprises will announce their third-quarter results. RIL faces a legal challenge from the government. Eicher Mo…","{'id': 'the-times-of-india', 'name': 'The Times of India'}",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-ril-adani-enterprises-bajaj-housing-pb-fintech/articleshow/127873691.cms,2026-02-03
7,2026-02-02T16:23:20Z,Modi to Kevin Rudd: How Epstein files set off a storm far beyond the US,"Latest files include emails and messages between Epstein and powerful men in India, UK, Australia and Slovakia.","{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",https://www.aljazeera.com/news/2026/2/2/modi-to-kevin-rudd-how-epstein-files-set-off-a-storm-far-beyond-the-us,2026-02-02
8,2026-02-02T15:41:54Z,Delhi HC clears govt’s appeal against Reliance Industries in $3.86 billion PMT gas fields arbitration row,The Delhi High Court has dismissed Reliance Industries' objections regarding the maintainability of the government's appeal. This appeal seeks to enforce a 2016 arbitration award of $3.86 billion. The court found no merit in RIL's preliminary objections. The …,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",https://economictimes.indiatimes.com/industry/energy/oil-gas/delhi-hc-clears-govts-appeal-against-reliance-industries-in-3-86-billion-pmt-gas-fields-arbitration-row/articleshow/127866101.cms,2026-02-02
9,2026-02-01T09:28:27Z,"Capex push, STT increase and Budget fine print for stock market: Will Sensex, Nifty fall further in days ahead?","Indian markets plunged post Union Budget 2026 as Sensex fell sharply on higher trading taxes and weak FPI cues. Despite near term shock, analysts see capex push, defence spending and structural reforms supporting medium to long term growth prospects ahead.","{'id': 'the-times-of-india', 'name': 'The Times of India'}",https://economictimes.indiatimes.com/markets/stocks/news/capex-push-stt-increase-and-budget-fine-print-for-stock-market-will-sensex-nifty-fall-further-in-days-ahead/articleshow/127838294.cms,2026-02-01
